קטגוריה,שם,תפקיד,איפה,מקור
עיתונאים ומבקרים,יאיר רוה,מבקר קולנוע ובלוגר,"Cinemascope, Mako, רדיו KZ",https://cinemascope.co.il/
עיתונאים ומבקרים,שמוליק דובדבני,מבקר קולנוע,ynet,https://he.wikipedia.org/wiki/שמוליק_דובדבני
עיתונאים ומבקרים,יעל שוב,מבקרת קולנוע,Time Out Tel Aviv,https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,פבלו אוטין,מבקר קולנוע,"ישראל היום, Srita.net, כתב העת הסינמטק",https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,אבנר שביט,"מבקר קולנוע, פודקאסטר","וואלה תרבות, סינמה סבבה",https://cinema-sababa.podbean.com/
עיתונאים ומבקרים,ישי קיצ'לס,"מבקר קולנוע, פודקאסטר","ישראל היום, סינמה סבבה",https://cinema-sababa.podbean.com/
עיתונאים ומבקרים,נחמן אינגבר,מבקר קולנוע,"ידיעות אחרונות, ישראל היום",https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,נסים דיין,מבקר קולנוע,"גלובס, גלי צה""ל",https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,דורון פישלר,מבקר קולנוע,"וואלה תרבות, Time Out Tel Aviv, עין הדג",https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,אהרון קשלס,מבקר קולנוע,"ynet, גלובס",https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,יהודה סתיו,מבקר קולנוע,ידיעות אחרונות,https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,אמיר קמינר,מבקר קולנוע,"פנאי פלוס, ידיעות אחרונות",https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,חיים קינן,מבקר קולנוע,קול ישראל רשת ב',https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,נחום מוכיח,מבקר קולנוע,"מגזין את, פנאי פלוס, מעריב",https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,דבורית שרגל,"מבקרת קולנוע, בלוגרית","מעריב (לשעבר), מדיה עצמאית",https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,רותם דנון,מבקרת קולנוע,וואלה תרבות ובידור,https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,מאיר שניצר,מבקר קולנוע ותיק,"מעריב (1993–2021), הארץ, קול ישראל",https://he.wikipedia.org/wiki/מאיר_שניצר_(מבקר_קולנוע)
עיתונאים ומבקרים,יאיר הוכנר,מבקר קולנוע,Seret.co.il,https://www.seret.co.il/critics/seretcriticstable.asp
עיתונאים ומבקרים,רון פוגל,מבקר קולנוע בכיר,"Seret.co.il, פורטל 1909",https://www.seret.co.il/critics/seretcriticstable.asp
עיתונאים ומבקרים,ארז דבורה,מבקר קולנוע,ynet,https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,נטע אלכסנדר,מבקרת קולנוע,הארץ — בלוג התפוח המכני,https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,מרלין וניג,מבקרת קולנוע,"Salona, עיתון נשים",https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,אורי קליין,מבקר קולנוע ותיק,הארץ (1987–2022),https://he.wikipedia.org/wiki/אורי_קליין_(מבקר_קולנוע)
עיתונאים ומבקרים,יגאל בורשטיין,מבקר קולנוע,עיר (לשעבר),https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,גידי אורשר,מבקר קולנוע,גלי צה"ל,https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,שרית ילוב,מבקרת קולנוע,גלובס,https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,מתן שיראן,מבקר קולנוע,גלובס,https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,ידית אוריין,מבקרת קולנוע,"לאישה, ידיעות אחרונות",https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,ריטה קורן,מבקרת קולנוע,קול ישראל,https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,דוד שליט,מבקר קולנוע,"מוניט, גלובס, הארץ, מעריב",https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,חנה בראון,מבקרת קולנוע,Jerusalem Post,https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,איריס לקנר,מבקרת קולנוע,"iWomen, רדיו, טלוויזיה",https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,אריאל שוייצר,מבקר קולנוע,עיתונות ועצמאי,https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,יוסף שריק,מבקר קולנוע,הארץ,https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,עירית שמגר,מבקרת קולנוע,מעריב,https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,אלעד שילו,מבקר ועורך קולנוע,Seret.co.il,https://www.seret.co.il/critics/seretcriticstable.asp
עיתונאים ומבקרים,חנן רוזנברג,מבקר קולנוע,Seret.co.il,https://www.seret.co.il/critics/seretcriticstable.asp
עיתונאים ומבקרים,עומר אלגיא,מבקר קולנוע,Seret.co.il,https://www.seret.co.il/critics/seretcriticstable.asp
עיתונאים ומבקרים,גיא וילנר,מבקר קולנוע,Seret.co.il,https://www.seret.co.il/critics/seretcriticstable.asp
עיתונאים ומבקרים,דני ורט,מבקר קולנוע,"על המשמר, עיר, כתב העת הסינמטק",https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,זאב רב-נוף,מבקר קולנוע,"דבר, קול ישראל",https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,אביר גוסן,מבקרת קולנוע,"ynet, N12",https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,אורי כהן,מבקר תרבות ובידור,mako,https://uri.mitkadem.co.il/films/film.critics.israel.html
עיתונאים ומבקרים,אבישי סלאמה,פודקאסטר,נושמים קולנוע,https://noshmimkolnoa.podbean.com/
עיתונאים ומבקרים,אברי רוזן צבי,פודקאסטר,סרטים זה אנחנו,https://movies.podcastsareus.com/
עיתונאים ומבקרים,רוני זאבו,פודקאסטר,סרטים זה אנחנו,https://movies.podcastsareus.com/
עיתונאים ומבקרים,עודד גרובר,פודקאסטר,סרטים זה אנחנו,https://movies.podcastsareus.com/
עיתונאים ומבקרים,רותם יפעת,פודקאסטר,סרטים זה אנחנו,https://movies.podcastsareus.com/
עיתונאים ומבקרים,לירון סיני,פודקאסטר,סרטים זה אנחנו,https://movies.podcastsareus.com/
סגל אקדמי,ד"ר בועז הגין,ראש בית הספר — לימודי קולנוע,אוניברסיטת תל אביב,https://arts.tau.ac.il/filmTV/stf
