Israeli film IDs loaded: 286
Resuming from checkpoint: 6400 articles
4879 articles to scan
  [6500/100@196/min] reviews:1039 il_reviews:124
  [6596/200@175/min] reviews:1058 il_reviews:125
  [6696/300@180/min] reviews:1080 il_reviews:128
  [6795/400@173/min] reviews:1098 il_reviews:128
  [6895/500@177/min] reviews:1113 il_reviews:130
  [6995/600@173/min] reviews:1128 il_reviews:134
  [7094/700@175/min] reviews:1140 il_reviews:134
  [7192/800@177/min] reviews:1158 il_reviews:134
  [7291/900@173/min] reviews:1174 il_reviews:136
  [7391/1000@175/min] reviews:1188 il_reviews:137
  [7489/1100@177/min] reviews:1205 il_reviews:139
  [7588/1200@178/min] reviews:1218 il_reviews:139
  [7688/1300@179/min] reviews:1247 il_reviews:140
  [7785/1400@180/min] reviews:1271 il_reviews:143
  [7880/1500@180/min] reviews:1293 il_reviews:146
  [7978/1600@181/min] reviews:1318 il_reviews:151
  [8072/1700@181/min] reviews:1337 il_reviews:152
  [8168/1800@181/min] reviews:1366 il_reviews:154
  [8265/1900@182/min] reviews:1392 il_reviews:156
  [8361/2000@182/min] reviews:1410 il_reviews:157
  [8460/2100@183/min] reviews:1426 il_reviews:157
  [8558/2200@180/min] reviews:1450 il_reviews:160
  [8656/2300@178/min] reviews:1483 il_reviews:162
  [8754/2400@178/min] reviews:1510 il_reviews:165
  [8849/2500@178/min] reviews:1533 il_reviews:165
  [8948/2600@179/min] reviews:1556 il_reviews:168
  [9043/2700@177/min] reviews:1583 il_reviews:172
  [9141/2800@177/min] reviews:1610 il_reviews:182
  [9236/2900@177/min] reviews:1629 il_reviews:187
  [9334/3000@175/min] reviews:1655 il_reviews:195
  [9431/3100@176/min] reviews:1683 il_reviews:203
  [9529/3200@174/min] reviews:1711 il_reviews:207
  [9629/3300@172/min] reviews:1739 il_reviews:210
  [9728/3400@173/min] reviews:1762 il_reviews:215
  [9824/3500@173/min] reviews:1784 il_reviews:218
  [9923/3600@173/min] reviews:1807 il_reviews:223
  [10016/3700@173/min] reviews:1834 il_reviews:228
  [10112/3800@174/min] reviews:1853 il_reviews:231
  [10212/3900@174/min] reviews:1876 il_reviews:237
  [10312/4000@172/min] reviews:1902 il_reviews:241
  [10412/4100@172/min] reviews:1916 il_reviews:246
  [10512/4200@173/min] reviews:1928 il_reviews:249
  [10612/4300@173/min] reviews:1946 il_reviews:250
  [10712/4400@173/min] reviews:1957 il_reviews:252
  [10812/4500@173/min] reviews:1968 il_reviews:254
  [10912/4600@174/min] reviews:1972 il_reviews:254
  [11012/4700@174/min] reviews:1981 il_reviews:258
  [11112/4800@175/min] reviews:1987 il_reviews:258

Done: 11190 articles in 27.9 min

Exporting 1991 reviews to out/edb_critics/mentions.jsonl
Exported 1991 reviews
