name,gpt4o_mini,haiku,gpt4o_mini_roles,haiku_roles
Laura Wandel,✓,✓,"במאית, במאי",במאית
אגאת רידינגר,✓,✓,"director, במאית",במאית
אורן גרנר,✓,✓,במאי,במאי
אייל חלפון,✓,✓,במאי,במאי
איל חלפון,✓,✓,במאי,במאי
אילדיקו אניידי,✓,✓,"במאית, במאי",במאית
אילקר צ'טאק,✓,✓,במאי,במאי
אליצ'ה רורוואכר,✓,✓,במאית,במאי
אלכסנדר קורנב,✓,,"תובע צעיר ורודף צדק, תובע",
אמלי בונן,✓,✓,"במאית, במאי",במאית
אנדריאה ארנולד,✓,✓,"director, במאית",במאית
אסטיבליז אורסולה סולגורן,✓,✓,במאית,במאי
אקי קאוריסמקי,✓,✓,במאי,במאי
אקירה קורוסאווה,✓,✓,במאי,במאי
אש בראנון,✓,✓,במאי,במאי
אתי ציקו,✓,✓,"במאית, במאי",במאית
בוריס לוז׳קין,✓,✓,"director, במאי",במאי
ג'ונתן גלייזר,✓,✓,במאי,במאי
גאורגי אונקובסקי,✓,✓,במאי,במאי
גינטס זילבאלודיס,✓,✓,במאי,במאי
ג׳ון קסאווטס,✓,✓,"director, במאי",במאי
ג׳ונתן דמי,✓,✓,,במאי
ג׳ורג׳ רוי היל,✓,✓,במאי,במאי
דוד וולך,✓,✓,במאי,במאי
דייגו סספדס,✓,✓,"קולנוען, במאי","קולנוען, במאי"
דילן יוסף שטרית,✓,✓,במאית,במאי
דניאל אויערבאך,✓,,,
דפנה אוודיש גולן,✓,✓,"director, במאית",במאית
הו גוואן,✓,✓,"director, במאי",במאי
הובר שרואל,✓,✓,במאי,במאי
הייאו מיאזאקי,✓,✓,במאי,במאי
הילה רויזנמן,✓,✓,במאית,במאית
הפסיה הרזי,✓,✓,"במאית, במאי",במאית
וולטר סאלס,✓,✓,"director, במאי",במאי
וים ונדרס,✓,✓,במאי,במאי
ולרי דונזלי,✓,✓,במאי,במאית
ז'וסטין טרייה,✓,✓,במאית,במאי
ז׳אן-לוק גודאר,✓,✓,במאי,במאי
ז’ולייט,✓,✓,זמרת,זמרת
חפסיה הרזי,✓,✓,"שחקנית, במאית","שחקנית, במאית"
טלילה פרנק,✓,✓,במאית,במאית
יואכים טרייר,✓,✓,במאי,במאי
יוסרא אבו כף,✓,✓,"במאית, במאי",במאית
יעל רייספלד,✓,✓,"director, במאית",במאית
כליל כובש,✓,✓,במאית,במאית
כריס באק,✓,✓,במאי,במאי
לואיז קורבוזייה,✓,✓,במאית,במאית
לי דרור,✓,✓,"director, במאית",במאית
לי סאנג־איל,✓,✓,במאי,במאי
ליז אקוקה,✓,✓,"במאית, במאי",במאית
מאורה דלפרו,✓,✓,"director, במאית",במאית
מאיה קניג,✓,✓,"director, במאית",במאית
מאיה קסל,✓,✓,במאית,במאי
מארי אמשוקלי,✓,✓,במאית,במאי
מאשה הלברסטאד הולנד,✓,✓,במאית,במאית
מולי מנינג-ווקר,✓,✓,במאית,במאי
מייקל דודוק דה-ויט,✓,✓,"director, במאי",במאי
מייקל קורטיז,✓,✓,במאי,במאי
מיכאל הנקה,✓,✓,במאי,במאי
מילוש פורמן,✓,✓,במאי,במאי
מין בהאדור בהאם,✓,✓,במאי,במאי
מיקלאנג’לו אנטוניוני,✓,✓,במאי,במאי
מישל אוסלו,✓,✓,במאי,במאי
מישל הזנוויציוס,✓,✓,"director, במאי",במאי
מישל פרנקו,✓,✓,במאי,במאי
נדיה מליטי,✓,✓,שחקנית,שחקנית
נורי בילגה ג'יילן,✓,✓,במאי,במאי
סטפן קומנדרב,✓,✓,במאי,במאי
סטפני די גיוסטו,✓,✓,במאית,במאי
סיון לוי זקין,✓,✓,"director, במאית",במאית
סרגיי לוזניצה,✓,✓,במאי,במאי
עומר בן-דוד,✓,✓,director,במאי
עמנואל פארבו,✓,✓,במאית,במאי
עמרי ברזילי,✓,✓,director,במאי
עמרי ברזילי ועומר בן-דוד,✓,,במאים,
פבלו ברגר,✓,✓,במאי,במאי
פדרו אלמודובר,✓,✓,"director, במאי",במאי
פולין לוקה,✓,✓,"במאית, במאי",במאית
פיאל קפאדיה,✓,✓,"director, במאית",במאית
פני בן דוד,✓,✓,במאית,במאית
פרנסיס פורד קופולה,✓,✓,"director, במאי",במאי
צ'רלי צ'פלין,,✓,,"שחקן, במאי"
צ׳רלי צ׳פלין,✓,✓,"שחקן, במאי","שחקן, במאי"
קוהיי איגראשי,✓,✓,"director, במאי",במאי
קלבר מנדונסה־פיליו,✓,✓,במאי,במאי
קרין טרדייה,✓,✓,"director, במאית",במאית
רומן גרה,✓,✓,במאי,במאי
רומן פולנסקי,✓,✓,במאי,במאי
רונאר רונארסון,✓,✓,"director, במאי",במאי
רונה סגל,✓,✓,"director, במאית",במאית
רוני בהט,✓,✓,"director, במאית",במאי
ריוסוקה המגוצ'י,✓,✓,במאי,במאי
ריימונד בורלה,✓,✓,במאי,במאי
רמאטה־טולאי סי,✓,✓,במאית,במאי
שון בייקר,✓,✓,"director, במאי",במאי
שי-שינג צו,✓,✓,במאי,במאי
שירה גפן,✓,✓,במאית,במאית
שמר גאון,✓,✓,"במאית, במאי",במאי
תום שובל,✓,✓,במאי,במאי
