name,regex,dictabert,hebert,regex_sources,dictabert_sources,hebert_sources
##ach,,,✓,0,0,2
##achoukel,,,✓,0,0,2
##achoukeli,,,✓,0,0,2
##and,,,✓,0,0,2
##andre,,,✓,0,0,2
##ant,,,✓,0,0,2
##art,,,✓,0,0,2
##ava,,,✓,0,0,2
##ba,,,✓,0,0,14
##dr,,,✓,0,0,2
##dra huller,,,✓,0,0,2
##el,,,✓,0,0,2
##h,,,✓,0,0,2
##hael dudok,,,✓,0,0,2
##i ge hu guan,,,✓,0,0,2
##ia olsson,,,✓,0,0,2
##ie carmen,,,✓,0,0,2
##ierre rouv,,,✓,0,0,2
##il krich,,,✓,0,0,2
##im,,,✓,0,0,2
##im tabakman,,,✓,0,0,2
##in biol,,,✓,0,0,2
##inan,,,✓,0,0,2
##iprian chiu,,,✓,0,0,2
##istel de,,,✓,0,0,2
##it,,,✓,0,0,2
##mbhala,,,✓,0,0,1
##mi,,,✓,0,0,2
##nath,,,✓,0,0,6
##ndra huller swann arlaud samuel theis,,,✓,0,0,2
##ni,,,✓,0,0,2
##nti,,,✓,0,0,2
##obi,,,✓,0,0,2
##oga,,,✓,0,0,2
##orn,,,✓,0,0,4
##pu koivu,,,✓,0,0,2
##ric,,,✓,0,0,2
##rric,,,✓,0,0,2
##rwegian,,,✓,0,0,2
##s,,,✓,0,0,2
##sh,,,✓,0,0,2
##shino,,,✓,0,0,2
##shio suzuk,,,✓,0,0,2
##taparmakov,,,✓,0,0,2
##tchinson,,,✓,0,0,2
##udith nora,,,✓,0,0,2
##ukim,,,✓,0,0,79
##umio hayasaka,,,✓,0,0,2
##ursat uresin,,,✓,0,0,2
##ushi okui,,,✓,0,0,2
##zab,,,✓,0,0,2
##zaki,,,✓,0,0,2
##אורן גרנר מדינהישר,,,✓,0,0,1
##אן,,,✓,0,0,2
##בוריס לוז ' קין,,,✓,0,0,1
##גאורגי אונקובסקי,,,✓,0,0,2
##ד,,,✓,0,0,1
##דוף אחרי,,,✓,0,0,1
##ה,,,✓,0,0,2
##וט,,,✓,0,0,2
##וטס,,,✓,0,0,2
##ז אקוקה,,,✓,0,0,1
##זאקי,,,✓,0,0,2
##זייה רוני בהט,,,✓,0,0,2
##י דאנאוויי,,,✓,0,0,2
##י דונזלי,,,✓,0,0,1
##י קאוריס,,,✓,0,0,2
##יבלי,,,✓,0,0,2
##יה,,,✓,0,0,2
##ילה,,,✓,0,0,2
##ים,,,✓,0,0,6
##ים בימוי,,,✓,0,0,2
##לוריה,,,✓,0,0,2
##מן פולנסקי,,,✓,0,0,2
##מרי ברזילי ועומר בן - דוד מדינהישר,,,✓,0,0,1
##ן,,,✓,0,0,1
##נה,,,✓,0,0,2
##נקי,,,✓,0,0,2
##נקים,,,✓,0,0,8
##סון,,,✓,0,0,2
##פנט,,,✓,0,0,1
##ק,,,✓,0,0,2
##ש פורמן,,,✓,0,0,1
##שירה גפן,,,✓,0,0,1
##ת זהרון,,,✓,0,0,4
' ה,,✓,,0,2,0
' ה רור,,✓,,0,4,0
' וסטי,,✓,,0,2,0
' י מארי,,✓,,0,2,0
' יה,,✓,,0,2,0
' ין,,✓,,0,2,0
' לו אנטוניו,,✓,,0,6,0
- 2,,✓,,0,2,0
- chi,,✓,,0,2,0
- wa,,✓,,0,2,0
- ווקר,,✓,,0,3,0
. גילה,,,✓,0,0,2
2024,,✓,,0,1,0
3666646 aravaff,,,✓,0,0,2
abinash bikram shah,,,✓,0,0,2
agush agushev,,,✓,0,0,2
agust orn b. wigum,,,✓,0,0,2
aki kaurismaki,,,✓,0,0,2
akira kurosawa,,,✓,0,0,2
ala,,✓,,0,2,0
alain attal,,,✓,0,0,2
alain goldman,,,✓,0,0,2
alb,,✓,,0,2,0
alba rohrwacher,,,✓,0,0,2
alblak,,,✓,0,0,2
aleksandr kuznetsov,,,✓,0,0,2
alen sinkauz,,,✓,0,0,2
alex or,,✓,,0,2,0
alex orlovsky,,,✓,0,0,2
alexandra echkenazi,,,✓,0,0,2
alice rohrwacher,,,✓,0,0,2
alina tomnikov jussi vatanen janne hyytiainen n,,,✓,0,0,2
all,,✓,,0,2,0
alma poyst,,,✓,0,0,2
alona refua,,,✓,0,0,2
amir harel,,,✓,0,0,2
anatoliy beliy,,,✓,0,0,2
anders danielsen lie,,,✓,0,0,2
andre,,✓,,0,2,0
andre mar,,✓,,0,4,0
andri steinn gudjonsson,,,✓,0,0,2
angelo,,,✓,0,0,2
ant,,✓,,0,2,0
anton,,✓,,0,2,0
ara,,✓,,0,14,0
arav,,,✓,0,0,2
arava,,,✓,0,0,18
aravaff,,,✓,0,0,7
ari,,✓,,0,4,0
arif jakup,,,✓,0,0,2
asakazu nakai,,,✓,0,0,2
assa raviv,,,✓,0,0,2
aud,,✓,,0,2,0
ayao miyazaki,,,✓,0,0,2
aziz,,,✓,0,0,2
bahadur bham,,,✓,0,0,2
bak,,✓,,0,2,0
bal,,✓,,0,2,0
bar,,✓,,0,2,0
barry keoghan,,,✓,0,0,2
barzilai,,,✓,0,0,3
bas,,✓,,0,4,0
beau,,,✓,0,0,2
ben,,✓,✓,0,4,3
ben - david,,,✓,0,0,4
ben - david count,,,✓,0,0,2
benoit magimel,,,✓,0,0,2
ber,,✓,,0,4,0
berger,,,✓,0,0,2
bern,,✓,,0,2,0
bill,,✓,,0,2,0
bill but,,✓,,0,2,0
bill butler,,,✓,0,0,2
bon,,✓,,0,2,0
bou,,✓,,0,4,0
bruno mercere בא,,,✓,0,0,2
carl,,✓,,0,2,0
carlo,,,✓,0,0,2
ces,,✓,,0,2,0
charles,,✓,,0,2,0
charles chap,,✓,,0,4,0
cher,,✓,,0,2,0
cheryl barne,,,✓,0,0,2
chi,,✓,,0,4,0
chris buck,,✓,✓,0,2,2
chris fra,,✓,,0,2,0
chris frantz,,,✓,0,0,2
chris je,,✓,,0,2,0
chris jenkins,,,✓,0,0,2
christiaan verbeek,,,✓,0,0,2
christian ber,,✓,,0,2,0
christian fri,,✓,,0,2,0
cla,,✓,,0,2,0
claude grumberg,,,✓,0,0,2
daniel,,✓,,0,2,0
danielius kokanauski,,,✓,0,0,2
david,,,✓,0,0,2
david byrne,,,✓,0,0,2
david ca,,✓,,0,2,0
david s. war,,✓,,0,2,0
david sh,,✓,,0,2,0
david shire,,,✓,0,0,2
david thion,,,✓,0,0,2
del,,✓,,0,2,0
dem,,✓,,0,2,0
dian,,✓,,0,2,0
die,,✓,,0,2,0
dimitri baudry,,,✓,0,0,2
don,,✓,,0,4,0
dor,,✓,,0,2,0
dulguerian,,,✓,0,0,2
dun,,✓,,0,4,0
elin hall,,,✓,0,0,2
elio balezeau,,,✓,0,0,2
elisheva weil,,,✓,0,0,2
emanuel parv,,,✓,0,0,2
emmanuel yovanie alpha oumar so,,,✓,0,0,2
ermany,,,✓,0,0,1
ernst j,,,✓,0,0,2
eskil vogt,,,✓,0,0,2
eti tsik,,,✓,0,0,2
evans,,,✓,0,0,2
fanny martin,,,✓,0,0,2
faye dunaway,,,✓,0,0,2
fra,,✓,,0,2,0
franc,,✓,,0,6,0
frank,,✓,,0,2,0
frank cl,,,✓,0,0,2
franz rogowski,,,✓,0,0,2
fred sch,,✓,,0,2,0
gai,,,✓,0,0,2
gal green,,✓,,0,2,0
gal greenspan,,,✓,0,0,2
gan,,✓,,0,2,0
gar,,✓,,0,4,0
gary goetz,,,✓,0,0,2
gena rowland,,,✓,0,0,2
gene hack,,✓,✓,0,2,2
genzaburo yoshino,,,✓,0,0,2
geor,,✓,,0,2,0
george,,✓,,0,2,0
ges,,✓,,0,2,0
giusto,,,✓,0,0,2
gla,,✓,,0,2,0
gold,,✓,,0,2,0
gre,,✓,,0,2,0
guediguian,,,✓,0,0,2
had,,✓,,0,2,0
hadas yaron,,,✓,0,0,4
hancock,,,✓,0,0,2
hannah azulai,,,✓,0,0,2
har,,✓,,0,2,0
harris,,✓,,0,2,0
harry,,,✓,0,0,2
hasfari,,,✓,0,0,2
hay,,✓,,0,4,0
haya,,,✓,0,0,2
hayao miyazaki,,,✓,0,0,6
heikkila,,,✓,0,0,2
hel,,✓,,0,4,0
herbi,,,✓,0,0,2
hila ruach עיצוב פסקול aviv aldema,,,✓,0,0,2
him,,,✓,0,0,2
hisaish,,,✓,0,0,2
how,,✓,,0,2,0
hub,,✓,,0,2,0
hubert charuel,,,✓,0,0,2
hum,,✓,,0,2,0
hun,,✓,,0,2,0
idir azougli,,,✓,0,0,2
ilker catak,,,✓,0,0,2
ivana shekutkoska צילום naum doksevski,,,✓,0,0,2
jack,,,✓,0,0,2
jack nicholson,,,✓,0,0,2
jan bak,,✓,,0,2,0
jane birkin,,,✓,0,0,2
janel tsai,,,✓,0,0,2
jean,,✓,✓,0,2,2
jean - luc god,,✓,,0,2,0
jean - mic,,✓,,0,2,0
jean - pierre dar,,✓,,0,2,0
jean - pierre la,,✓,,0,2,0
jeanne balibar,,,✓,0,0,2
jer,,✓,,0,2,0
jerry harrison,,,✓,0,0,4
joachim trier,,,✓,0,0,2
joe hisaishi,,,✓,0,0,6
joh,,✓,,0,2,0
johannes duncker,,,✓,0,0,2
john a. al,,✓,,0,2,0
john a. alonz,,,✓,0,0,2
john cassavete,,,✓,0,0,2
john castle,,✓,✓,0,2,2
john cazale allen garfield,,,✓,0,0,2
john huston,,,✓,0,0,2
jon,,✓,,0,6,0
jonath,,,✓,0,0,2
jonathan,,,✓,0,0,8
jonathan demme,,,✓,0,0,2
jone,,,✓,0,0,2
joy,,✓,,0,2,0
jul,,✓,,0,4,0
kat,,✓,,0,2,0
katcharava צילום shai goldman עריכה margarita linton מוסיקה luca longobardi,,,✓,0,0,2
katla njalsdottir,,,✓,0,0,2
keith jo,,,✓,0,0,2
kevin chneiweiss,,,✓,0,0,2
kiran shrestha,,,✓,0,0,2
kircher,,,✓,0,0,2
kit car,,✓,,0,2,0
kur,,✓,,0,2,0
lam,,,✓,0,0,2
laur,,✓,,0,4,0
leon edery,,,✓,0,0,2
lester persky,,,✓,0,0,2
lev,,✓,,0,2,0
lie,,✓,,0,2,0
lihi kornowski,,,✓,0,0,2
lind,,✓,,0,2,0
lou,,✓,,0,2,0
m. kit carson,,,✓,0,0,2
maayan turgeman,,,✓,0,0,2
mac,,✓,,0,2,0
mad,,✓,,0,2,0
mal,,✓,,0,4,0
maria ekerh,,,✓,0,0,2
marie - ange luciani,,,✓,0,0,2
marie amachoukeli,,,✓,0,0,2
marie riv,,✓,,0,4,0
mark lwoff,,,✓,0,0,2
marma,,,✓,0,0,2
martin jilek,,,✓,0,0,2
marvin ham,,,✓,0,0,2
mat,,✓,,0,2,0
mauroy,,,✓,0,0,2
may,,✓,,0,2,0
maya fisc,,,✓,0,0,2
maya kenig משחק hila ruach,,,✓,0,0,2
mia mckenna,,,✓,0,0,2
mic,,✓,,0,6,0
mica levi,,,✓,0,0,2
michael hanek,,,✓,0,0,4
michael haneke,,,✓,0,0,2
michael phill,,,✓,0,0,2
michael reich,,,✓,0,0,2
michael weller po,,,✓,0,0,2
michel,,,✓,0,0,2
michel fr,,,✓,0,0,2
michel franco עריכה oscar figueroa,,,✓,0,0,2
michel franco צילום yves cape,,,✓,0,0,2
michel hazanavicius,,,✓,0,0,2
michelangelo antonioni,,,✓,0,0,2
midbara,,,✓,0,0,6
mikael kaaber,,,✓,0,0,2
mikey,,,✓,0,0,2
miruna beresc,,,✓,0,0,2
misha jaari,,,✓,0,0,2
miyazaki,,,✓,0,0,8
monika willi,,,✓,0,0,2
moo,,✓,,0,2,0
mor,,✓,,0,2,0
moshe edery,,,✓,0,0,2
mul,,✓,,0,2,0
mur,,✓,,0,2,0
nak,,✓,,0,2,0
nandauri,,,✓,0,0,2
nassim gordji tehrani,,,✓,0,0,2
neil gaiman,,,✓,0,0,2
nenad sinkauz,,,✓,0,0,2
nor,,✓,,0,2,0
oleg mutu,,,✓,0,0,2
orli roth feldheim,,,✓,0,0,2
patrick sobelman,,,✓,0,0,2
paul,,✓,,0,4,0
paul hen,,✓,,0,2,0
paul kir,,✓,,0,2,0
paul wat,,✓,,0,2,0
paul we,,✓,,0,2,0
perry lopez,,,✓,0,0,2
peter,,,✓,0,0,2
peter bow,,✓,,0,2,0
pierre,,✓,,0,2,0
raf,,✓,,0,2,0
ralph,,,✓,0,0,2
ranabir da,,,✓,0,0,2
rani abit,,,✓,0,0,2
raphael,,,✓,0,0,2
raphael quenar,,,✓,0,0,2
ri barzilai,,,✓,0,0,1
riad,,,✓,0,0,2
richard chew,,,✓,0,0,2
rob,,✓,,0,2,0
robert town,,✓,,0,2,0
roi kurland,,,✓,0,0,2
romain comp,,,✓,0,0,2
ron dy,,✓,,0,2,0
roni shamiss עריכה maya kenig צילום amit yasour,,,✓,0,0,2
ross,,✓,,0,2,0
ryusuke hamaguchi,,,✓,0,0,2
sal,,✓,,0,4,0
sam,,✓,✓,0,2,2
sam o ' ste,,✓,,0,2,0
sam o ' steen,,,✓,0,0,2
sam shaw,,,✓,0,0,2
sam shepard,,,✓,0,0,2
samantha quan,,,✓,0,0,2
samira saraya,,,✓,0,0,4
sand,,✓,,0,2,0
schuler,,,✓,0,0,2
sea,,✓,,0,4,0
sean baker,,,✓,0,0,2
sergei loznitsa,,,✓,0,0,2
seymor daniel,,,✓,0,0,2
shai goldman,,,✓,0,0,2
sharon,,,✓,0,0,2
shaw,,,✓,0,0,2
shih - ching tsou,,,✓,0,0,2
shih - yuan ma,,,✓,0,0,2
sinai peter,,,✓,0,0,2
sou,,✓,,0,2,0
step,,✓,,0,2,0
stephan komandare,,,✓,0,0,79
stephan komandarev,,,✓,0,0,2
stephanie,,,✓,0,0,2
stephanie bermann,,,✓,0,0,2
stock,,✓,,0,2,0
suzana pedro,,,✓,0,0,2
tabarin,,,✓,0,0,2
tak,,✓,,0,2,0
takashi shimura keiko tsushima,,,✓,0,0,2
takeshi seyama,,,✓,0,0,2
tal,,,✓,0,0,2
tali sharon,,,✓,0,0,4
tes,,✓,,0,2,0
timo salminen,,,✓,0,0,2
tom,,✓,,0,2,0
tom meira armony,,,✓,0,0,2
tom mur,,✓,,0,2,0
ton,,✓,,0,2,0
tonino guerra,,,✓,0,0,2
toshio suzuki,,,✓,0,0,4
town,,,✓,0,0,2
tristan galand,,,✓,0,0,2
val,,✓,,0,4,0
valeri,,,✓,0,0,2
vanessa,,,✓,0,0,2
vesselin hrist,,,✓,0,0,2
volach,,,✓,0,0,6
wal,,✓,,0,2,0
ward,,,✓,0,0,2
william re,,✓,,0,2,0
yacov,,,✓,0,0,2
yam,,✓,,0,2,0
yao miyazaki,,,✓,0,0,2
yard,,,✓,0,0,2
yoav bavly,,,✓,0,0,2
yoel rozenkier,,,✓,0,0,2
yonata,,,✓,0,0,2
yos,,,✓,0,0,2
yoshio kitagawa,,,✓,0,0,2
yukiko shimazaki toshiro mifun,,,✓,0,0,2
yuval dayan,,,✓,0,0,2
zak,,,✓,0,0,2
zakin,,,✓,0,0,1
zego arnaud rebotin,,,✓,0,0,2
zukim,,,✓,0,0,90
zuqim,,,✓,0,0,4
־ ווקר,,✓,,0,2,0
־ פילי,,✓,,0,3,0
אבו אלח,,✓,,0,2,0
אבו כף,,✓,,0,7,0
אבו סנג,,✓,,0,2,0
אבי בללי,,✓,✓,0,2,2
אבי הרפז,,✓,✓,0,2,2
אביב,,✓,,0,2,0
אביב בן שלוש,,,✓,0,0,2
אבשלום,,✓,✓,0,2,2
אגא,,✓,,0,4,0
אגאת רידינגר,,,✓,0,0,2
אגאת רידינגר מדינה צרפת,✓,,,2,0,0
אדאמס,,✓,,0,2,0
אדי,,✓,✓,0,2,2
אדם,,✓,,0,2,0
אדם ויינגרוד,,,✓,0,0,2
אהובה קרן,,✓,✓,0,2,2
אויערבאך דניאל אויערבאך 01,,,✓,0,0,1
אוליביה שומאן,,✓,✓,0,2,2
אולם רוזנטל,,,✓,0,0,1
אולם רוזנטל בימוילי דרור,✓,,✓,2,0,2
אולם רוזנטל בימוילי דרור מדינהישר,,,✓,0,0,1
אולם רוזנטל בימויצ ' רלי צ ' פלין מדינה,,,✓,0,0,1
אונה,,✓,✓,0,2,2
אופיר,,✓,,0,2,0
אופנה מצליח מעביר את,✓,,,4,0,0
אופק האירועים,,,✓,0,0,2
אוק,,✓,,0,2,0
אוקי מיקי,,✓,,0,2,0
אוקי מיקיטו,,,✓,0,0,2
אורי,,✓,,0,2,0
אורי קדישאי,,,✓,0,0,2
אורן,,✓,,0,1,0
אורן גר,,✓,,0,8,0
אורן גרנר,✓,,✓,2,0,6
אורסולה,,✓,,0,2,0
אורסולה סול,,✓,,0,4,0
אחמט,,✓,✓,0,4,4
אחרי לוסיה,✓,,,1,0,0
איגרא,,✓,,0,2,0
איי,,✓,,0,2,0
אייאד אבו אלחסן,,,✓,0,0,2
אייל,,✓,,0,2,0
אייל חלפון,✓,,✓,6,0,6
אייל שיר,,✓,,0,2,0
אייל שיראי,,,✓,0,0,2
איל,,✓,✓,0,5,2
איל חלפון,,✓,✓,0,4,2
איל חלפון מדינה,,,✓,0,0,2
אילדיקו אניידי,,,✓,0,0,2
אילדיקו אניידי מדינה גרמניה,✓,,,2,0,0
אילקר צ ',,,✓,0,0,2
אילקר צ ' טאק,,,✓,0,0,2
אילקר צ'טאק הופך את,✓,,,2,0,0
אילקר צ'טאק מדינה גרמניה,✓,,,6,0,0
אינגריד,,✓,✓,0,2,2
אירו,,,✓,0,0,2
איתן,,✓,✓,0,3,4
אל פאני,,✓,,0,2,0
אלבר למורי,,✓,,0,2,0
אלבר למוריס,,,✓,0,0,2
אלדד פרי,,✓,,0,2,0
אלדד פריבס,,,✓,0,0,2
אלונה,,✓,✓,0,6,4
אלח,,✓,,0,4,0
אלחנדרה,,,✓,0,0,4
אלי,,✓,,0,4,0
אלי גור,,✓,,0,2,0
אלי גורנשטיין,,,✓,0,0,2
אליס פרנ,,✓,,0,2,0
אליצ ' ה רורוואכר,,,✓,0,0,2
אליצ'ה רורוואכר מדינה איטליה,✓,,,6,0,0
אלישבע וייל,,✓,✓,0,4,4
אלכס גריי,,✓,✓,0,2,2
אלכסנדר דס,,✓,,0,2,0
אלכסנדר דספלה,,,✓,0,0,2
אלכסנדר קור,,,✓,0,0,1
אלכסנדר קורנ,,✓,,0,4,0
אלכסנדר קורנב,,,✓,0,0,3
אלמודובר,,✓,✓,0,3,2
אלמודובר מדינה,,✓,,0,1,0
אלעד בן הרוש,,✓,✓,0,2,2
אמילי וייס,,✓,✓,0,2,2
אמין ברדה,,✓,✓,0,2,2
אמלי,,✓,,0,2,0
אמלי בונ,,✓,,0,4,0
אמלי בונן,,,✓,0,0,4
אמלי בונן מדינה צרפת,✓,,,2,0,0
אמריק,,,✓,0,0,2
אמריקאית מבטיחה,✓,,,4,0,0
אן - לוק גודאר,,✓,✓,0,1,3
אן ־ לוק גודאר,,✓,,0,2,0
אנדריאה ארנולד,,✓,✓,0,2,2
אנדריאה ארנולד מדינה,,✓,✓,0,2,2
אנדריאה ארנולד מדינה בריטניה,✓,,,2,0,0
אנדריאה ארנולד פיא,,✓,,0,2,0
אנורה,,,✓,0,0,2
אנטוניו,,✓,,0,2,0
אני,,✓,,0,2,0
אניידי,,,✓,0,0,2
אנרי רוסו,,✓,✓,0,2,2
אסטי,,✓,,0,2,0
אסטיבליז אורסולה סולגורן,,,✓,0,0,2
אסטיבליז אורסולה סולגורן מדינה,✓,,,6,0,0
אסתר גולדברג,,✓,✓,0,2,2
אפרת ליפשיץ,,✓,✓,0,2,2
אקי,,✓,,0,4,0
אקי קאו,,✓,,0,6,0
אקי קאוריס,,,✓,0,0,2
אקי קאוריסמקי,,,✓,0,0,2
אקי קאוריסמקי מדינה פינלנד,✓,,,6,0,0
אקירה טאקאוקה,,,✓,0,0,2
אקירה קורוסאווה,,,✓,0,0,2
אקירה קורוסאווה מדינה יפן,✓,,,2,0,0
ארז איינ,,✓,,0,2,0
ארז אייני שביט,,,✓,0,0,2
אריאל אור,,✓,✓,0,2,2
אריה הזהב,,✓,,0,2,0
אריק להב - ליבוביץ,,✓,✓,0,2,2
אריק להב ליבוביץ ',,✓,✓,0,2,2
ארמ,,✓,,0,1,0
ארמאנה,,,✓,0,0,1
ארנסט,,✓,,0,2,0
ארץ ערבה,,,✓,0,0,2
ארתור,,✓,✓,0,2,2
אש בראנון,✓,,✓,2,0,2
אשראי דרך עמוד הסרט,✓,,,2,0,0
אתי ציק,,✓,,0,3,0
אתי ציקו,,,✓,0,0,2
באמ,,✓,,0,2,0
באמנון,,,✓,0,0,6
באנ,,✓,,0,2,0
באנל,,,✓,0,0,2
באנל ואדמה,,,✓,0,0,2
בג ' ינה רולנד,,✓,,0,2,0
בג ' ינה רולנדס,,,✓,0,0,2
