name,confidence,models,roles,organizations,source_count,years,sources
zukim,medium,hebert,,קרן קולנוע ערבה,90,"2012,2020,2021,2023,2024,2025",https://aravaff.co.il/en/director/shira-geffen/; https://aravaff.co.il/en/director/john-cassavetes/; https://aravaff.co.il/en/director/nuri-bilge-ceylan/
##ukim,medium,hebert,,קרן קולנוע ערבה,79,"2012,2023,2024,2025",https://aravaff.co.il/en/director/shira-geffen/; https://aravaff.co.il/en/director/nuri-bilge-ceylan/; https://aravaff.co.il/en/director/george-roy-hill/
stephan komandare,medium,hebert,,קרן קולנוע ערבה,79,"2012,2023,2024,2025",https://aravaff.co.il/en/director/shira-geffen/; https://aravaff.co.il/en/director/john-cassavetes/; https://aravaff.co.il/en/director/nuri-bilge-ceylan/
##hael hanek,medium,hebert,,קרן קולנוע ערבה,74,"2012,2023,2024,2025",https://aravaff.co.il/en/director/marie-amachoukeli/; https://aravaff.co.il/en/director/shira-geffen/; https://aravaff.co.il/en/director/mascha-halberstad/
arava,medium,hebert,במאי,"קרן קולנוע נגב, קרן הקולנוע ערבה, קרן קולנוע ערבה",18,"2023,2024,2025",https://aravaff.co.il/archive/2025/#main; https://aravaff.co.il/en/movies/shorts-in-the-desert-2/#main; https://aravaff.co.il/en/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/
דליה,high,hebert+dictabert,במאי,"מרכז קהילה ערבה, קרן הקולנוע ערבה, קרן קולנוע ערבה, המועצה האזורית ערבה תיכונה, קרן קולנוע נגב, משרד התרבות, קרן גשר, קרן גשר לקולנוע, קרן קולנוע מדרום, מכללת ספיר",14,"2020,2021,2025",https://aravaff.co.il/archive/2025/#main; https://aravaff.co.il/movies/%d7%94%d7%aa%d7%94-%d7%a9%d7%9c-%d7%93%d7%9c%d7%99%d7%94-%d7%9e%d7%98%d7%99%d7%9c-%d7%a6%d7%9c-%d7%a2%d7%9c-%d7%94%d7%a8-%d7%a4%d7%95%d7%92%d7%99/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main
ara,medium,dictabert,במאי,"קרן קולנוע נגב, קרן הקולנוע ערבה, קרן קולנוע ערבה",14,"2023,2024,2025",https://aravaff.co.il/movies/%d7%91%d7%99%d7%a8%d7%93/#main; https://aravaff.co.il/movies/%d7%90%d7%a0%d7%95%d7%a8%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%a2%d7%95%d7%a7%d7%a5/#main
##ba,medium,hebert,,קרן קולנוע ערבה,14,"2024,2025",https://aravaff.co.il/en/movies/summer-beats/; https://aravaff.co.il/en/movies/summer-beats/#main; https://aravaff.co.il/en/movies/not-my-weekend/
עבדאללה,high,dictabert+hebert,במאי,"מרכז קהילה ערבה, קרן הקולנוע ערבה, קרן קולנוע ערבה, המועצה האזורית ערבה תיכונה, קרן קולנוע נגב, משרד התרבות, קרן גשר, קרן גשר לקולנוע, קרן קולנוע מדרום, מכללת ספיר",12,"2020,2021,2025",https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main; https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/#main; https://aravaff.co.il/movies/%d7%a7%d7%a6%d7%a8-%d7%91%d7%9e%d7%93%d7%91%d7%a8-%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%94%d7%a0%d7%92%d7%91-%d7%94%d7%9e%d7%90%d7%95%d7%97%d7%93/
מישל פרנקו,high,dictabert+hebert,"במאי, מפיק, שחקן","קרן קולנוע נגב, קרן קולנוע ערבה",12,"2012,2020,2021,2023,2025",https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main; https://aravaff.co.il/movies/%d7%90%d7%97%d7%a8%d7%99-%d7%9c%d7%95%d7%a1%d7%99%d7%94/#main; https://aravaff.co.il/archive/2023/#main
