person,confidence,roles,organization,context,source_url,source_file
אייל חלפון,medium,במאי,מרכז קהילה ערבה,"…סרטים קצרים חדשים והסרט העלילתי באורך מלא ברנינג מן של הבמאי [אייל חלפון] , שהופק בתמיכת קרן הקולנוע ערבה וזכה לאחרונה בפרס הסרט הטוב …",https://aravaff.co.il/%D7%A1%D7%A8%D7%98%D7%99-%D7%A7%D7%A8%D7%9F-%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2-%D7%A2%D7%A8%D7%91%D7%94-2/,arava_film_fund__D7-A1-D7-A8-D7-98-D7-99--D7-A7-D7-A8-D7-9F--D7-A7-D7-95-D7-9C-D7-A0-D7-95-D7-A2-__8a9e0e21.meta.json
אייל חלפון,medium,במאי,קרן הקולנוע ערבה,"…סרטים קצרים חדשים והסרט העלילתי באורך מלא ברנינג מן של הבמאי [אייל חלפון] , שהופק בתמיכת קרן הקולנוע ערבה וזכה לאחרונה בפרס הסרט הטוב …",https://aravaff.co.il/%D7%A1%D7%A8%D7%98%D7%99-%D7%A7%D7%A8%D7%9F-%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2-%D7%A2%D7%A8%D7%91%D7%94-2/,arava_film_fund__D7-A1-D7-A8-D7-98-D7-99--D7-A7-D7-A8-D7-9F--D7-A7-D7-95-D7-9C-D7-A0-D7-95-D7-A2-__8a9e0e21.meta.json
אייל חלפון,medium,במאי,המועצה האזורית ערבה תיכונה,"…סרטים קצרים חדשים והסרט העלילתי באורך מלא ברנינג מן של הבמאי [אייל חלפון] , שהופק בתמיכת קרן הקולנוע ערבה וזכה לאחרונה בפרס הסרט הטוב …",https://aravaff.co.il/%D7%A1%D7%A8%D7%98%D7%99-%D7%A7%D7%A8%D7%9F-%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2-%D7%A2%D7%A8%D7%91%D7%94-2/,arava_film_fund__D7-A1-D7-A8-D7-98-D7-99--D7-A7-D7-A8-D7-9F--D7-A7-D7-95-D7-9C-D7-A0-D7-95-D7-A2-__8a9e0e21.meta.json
אייל חלפון,medium,במאי,קרן קולנוע מדרום,"…סרטים קצרים חדשים והסרט העלילתי באורך מלא ברנינג מן של הבמאי [אייל חלפון] , שהופק בתמיכת קרן הקולנוע ערבה וזכה לאחרונה בפרס הסרט הטוב …",https://aravaff.co.il/%D7%A1%D7%A8%D7%98%D7%99-%D7%A7%D7%A8%D7%9F-%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2-%D7%A2%D7%A8%D7%91%D7%94-2/,arava_film_fund__D7-A1-D7-A8-D7-98-D7-99--D7-A7-D7-A8-D7-9F--D7-A7-D7-95-D7-9C-D7-A0-D7-95-D7-A2-__8a9e0e21.meta.json
אייל חלפון,medium,במאי,קרן גשר לקולנוע,"…סרטים קצרים חדשים והסרט העלילתי באורך מלא ברנינג מן של הבמאי [אייל חלפון] , שהופק בתמיכת קרן הקולנוע ערבה וזכה לאחרונה בפרס הסרט הטוב …",https://aravaff.co.il/%D7%A1%D7%A8%D7%98%D7%99-%D7%A7%D7%A8%D7%9F-%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2-%D7%A2%D7%A8%D7%91%D7%94-2/,arava_film_fund__D7-A1-D7-A8-D7-98-D7-99--D7-A7-D7-A8-D7-9F--D7-A7-D7-95-D7-9C-D7-A0-D7-95-D7-A2-__8a9e0e21.meta.json
אייל חלפון,medium,במאי,משרד התרבות,"…סרטים קצרים חדשים והסרט העלילתי באורך מלא ברנינג מן של הבמאי [אייל חלפון] , שהופק בתמיכת קרן הקולנוע ערבה וזכה לאחרונה בפרס הסרט הטוב …",https://aravaff.co.il/%D7%A1%D7%A8%D7%98%D7%99-%D7%A7%D7%A8%D7%9F-%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2-%D7%A2%D7%A8%D7%91%D7%94-2/,arava_film_fund__D7-A1-D7-A8-D7-98-D7-99--D7-A7-D7-A8-D7-9F--D7-A7-D7-95-D7-9C-D7-A0-D7-95-D7-A2-__8a9e0e21.meta.json
אייל חלפון,medium,במאי,קרן גשר,"…סרטים קצרים חדשים והסרט העלילתי באורך מלא ברנינג מן של הבמאי [אייל חלפון] , שהופק בתמיכת קרן הקולנוע ערבה וזכה לאחרונה בפרס הסרט הטוב …",https://aravaff.co.il/%D7%A1%D7%A8%D7%98%D7%99-%D7%A7%D7%A8%D7%9F-%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2-%D7%A2%D7%A8%D7%91%D7%94-2/,arava_film_fund__D7-A1-D7-A8-D7-98-D7-99--D7-A7-D7-A8-D7-9F--D7-A7-D7-95-D7-9C-D7-A0-D7-95-D7-A2-__8a9e0e21.meta.json
אייל חלפון,medium,במאי,קרן קולנוע ערבה,"…סרטים קצרים חדשים והסרט העלילתי באורך מלא ברנינג מן של הבמאי [אייל חלפון] , שהופק בתמיכת קרן הקולנוע ערבה וזכה לאחרונה בפרס הסרט הטוב …",https://aravaff.co.il/%D7%A1%D7%A8%D7%98%D7%99-%D7%A7%D7%A8%D7%9F-%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2-%D7%A2%D7%A8%D7%91%D7%94-2/,arava_film_fund__D7-A1-D7-A8-D7-98-D7-99--D7-A7-D7-A8-D7-9F--D7-A7-D7-95-D7-9C-D7-A0-D7-95-D7-A2-__8a9e0e21.meta.json
אייל חלפון,medium,במאי,קרן קולנוע נגב,"…סרטים קצרים חדשים והסרט העלילתי באורך מלא ברנינג מן של הבמאי [אייל חלפון] , שהופק בתמיכת קרן הקולנוע ערבה וזכה לאחרונה בפרס הסרט הטוב …",https://aravaff.co.il/%D7%A1%D7%A8%D7%98%D7%99-%D7%A7%D7%A8%D7%9F-%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2-%D7%A2%D7%A8%D7%91%D7%94-2/,arava_film_fund__D7-A1-D7-A8-D7-98-D7-99--D7-A7-D7-A8-D7-9F--D7-A7-D7-95-D7-9C-D7-A0-D7-95-D7-A2-__8a9e0e21.meta.json
אייל חלפון,medium,במאי,מכללת ספיר,"…סרטים קצרים חדשים והסרט העלילתי באורך מלא ברנינג מן של הבמאי [אייל חלפון] , שהופק בתמיכת קרן הקולנוע ערבה וזכה לאחרונה בפרס הסרט הטוב …",https://aravaff.co.il/%D7%A1%D7%A8%D7%98%D7%99-%D7%A7%D7%A8%D7%9F-%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2-%D7%A2%D7%A8%D7%91%D7%94-2/,arava_film_fund__D7-A1-D7-A8-D7-98-D7-99--D7-A7-D7-A8-D7-9F--D7-A7-D7-95-D7-9C-D7-A0-D7-95-D7-A2-__8a9e0e21.meta.json
