URLs to scrape: 1491
  [1/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%90%d7%96%d7%99%d7%a1/ (14191 bytes)
  [2/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%94%d7%91%d7%94-%d7%9e%d7%aa%d7%a8%d7%92%d7%a9%d7%aa-%d7%9c%d7%91%d7%95%d7%90/ (18935 bytes)
  [3/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%91%d7%a1%d7%a1%d7%99%d7%94/ (17843 bytes)
  [4/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%91/ (16675 bytes)
  [5/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%92%d7%95%d7%a1%d7%98-%d7%a8%d7%92%d7%a2-%d7%9c%d7%a4%d7%a0%d7%99/ (15230 bytes)
  [6/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%93%d7%a1%d7%94-%d7%90%d7%95%d7%93%d7%a1%d7%94/ (17322 bytes)
  [7/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%95%d7%94/ (16362 bytes)
  [8/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%98%d7%95%d7%91%d7%99%d7%95%d7%92%d7%a8%d7%a4%d7%99%d7%94-%d7%a8%d7%a4%d7%95%d7%90%d7%99%d7%aa/ (15512 bytes)
  [9/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%94%d7%91%d7%99%d7%9d-%d7%90%d7%95%d7%aa%d7%9a-%d7%a4%d7%98%d7%a8%d7%99%d7%a9%d7%94/ (15069 bytes)
  [10/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%9b%d7%9c%d7%99%d7%9d-%d7%a4%d7%a6%d7%a6%d7%95%d7%aa/ (17658 bytes)
  [11/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%9c%d7%9e%d7%a8%d7%98-%d7%94%d7%90%d7%99%d7%a9-%d7%a9%d7%a8%d7%a6%d7%94-%d7%99%d7%95%d7%aa%d7%a8-%d7%9e%d7%93%d7%99/ (16550 bytes)
  [12/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%9c%d7%99%d7%9e%d7%a4%d7%99%d7%94/ (15645 bytes)
  [13/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%a0%d7%a8%d7%90/ (15731 bytes)
  [14/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%a4%d7%a0%d7%aa-%d7%93%d7%95%d7%93/ (13402 bytes)
  [15/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%a1%d7%98%d7%95%d7%a8%d7%94/ (15931 bytes)
  [16/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%a6%d7%a8-%d7%91%d7%90%d7%95%d7%a9%d7%95%d7%95%d7%99%d7%a5/ (16900 bytes)
  [17/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%a8%d7%99-%d7%90%d7%91%d7%a0%d7%a8%d7%99-%d7%9c%d7%95%d7%97%d7%9d-%d7%94%d7%a9%d7%9c%d7%95%d7%9d/ (16661 bytes)
  [18/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%94%d7%91%d7%9c%d7%94-%d7%90%d7%a1%d7%a4%d7%a0%d7%99%d7%95%d7%9c/ (14082 bytes)
  [19/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%a8%d7%a1%d7%95%d7%9c%d7%99%d7%9e%d7%95%d7%9d/ (17136 bytes)
  [20/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%aa%d7%99%d7%95%d7%aa-%d7%a0%d7%a9%d7%9e%d7%94/ (15861 bytes)
  [21/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%aa%d7%9a-%d7%9c%d7%90%d7%9e%d7%90/ (13321 bytes)
  [22/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%a8%d7%a0%d7%94-%d7%95%d7%90%d7%9c%d7%94/ (10668 bytes)
  [23/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%97%d7%93-%d7%a2%d7%9c-%d7%90%d7%97%d7%93/ (14261 bytes)
  [24/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%95%d7%a8%d7%99-%d7%96%d7%94%d7%a8-%d7%97%d7%95%d7%96%d7%a8/ (16428 bytes)
  [25/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%97%d7%99%d7%95%d7%aa/ (16242 bytes)
  [26/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%97%d7%93-%d7%a9%d7%a0%d7%99%d7%99%d7%9d-%d7%91%d7%99%d7%aa/ (17943 bytes)
  [27/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%97%d7%a8%d7%99%d7%99%d7%9a-%d9%88%d9%8e%d8%b1%d8%a7%d8%a1%d9%83%d9%90/ (19131 bytes)
  [28/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%97%d7%a8%d7%99-%d7%a1%d7%a4%d7%99%d7%a8%d7%aa-%d7%94%d7%a7%d7%95%d7%9c%d7%95%d7%aa/ (14450 bytes)
  [29/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%97%d7%aa-%d7%94%d7%92%d7%a8%d7%a1%d7%90%d7%95%d7%aa/ (13283 bytes)
  [30/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%95%d7%95%d7%9f-%d7%94%d7%90%d7%99%d7%95%d7%9d/ (16081 bytes)
  [31/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%97%d7%a6%d7%99/ (18841 bytes)
  [32/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%97%d7%a8%d7%99-%d7%97%d7%a6%d7%95%d7%aa-%d7%94%d7%a1%d7%95%d7%93-%d7%94%d7%9b%d7%99-%d7%a9%d7%9e%d7%95%d7%a8-%d7%91%d7%a2%d7%99%d7%a8/ (16219 bytes)
  [33/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%9a-%d7%90%d7%95%d7%9e%d7%a8%d7%95%d7%aa-%d7%a9%d7%aa%d7%99%d7%a7%d7%94/ (19601 bytes)
  [34/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%9a-%d7%94%d7%a4%d7%a1%d7%a7%d7%aa%d7%99-%d7%9c%d7%a4%d7%97%d7%93-%d7%95%d7%9c%d7%9e%d7%93%d7%aa%d7%99-%d7%9c%d7%90%d7%94%d7%95%d7%91-%d7%90%d7%aa-%d7%90%d7%a8%d7%99%d7%a7-%d7%a9%d7%a8/ (21953 bytes)
  [35/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%9a-%d7%9c%d7%94%d7%99%d7%95%d7%aa-%d7%9c%d7%91%d7%93/ (18636 bytes)
  [36/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%9a-%d7%9e%d7%a1%d7%9e%d7%a0%d7%99%d7%9d-%d7%90%d7%94%d7%91%d7%94/ (16492 bytes)
  [37/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%99%d7%99%d7%9b%d7%9e%d7%9f-%d7%94%d7%94%d7%a7%d7%9c%d7%98%d7%95%d7%aa-%d7%94%d7%90%d7%91%d7%95%d7%93%d7%95%d7%aa/ (18355 bytes)
